FiscalYear,Dept,Quarter,BudgetUSD,ForecastUSD,ActualUSD,VarianceUSD,Notes
2024,Finance,1,41215.19,39758.93,37613.91,-3601.28,
2024,Finance,2,79918.89,84614.59,86720.13,6801.24,
2024,Finance,3,92014.18,100763.08,105980.31,13966.13,
2024,Finance,4,117680.6,106162.49,96071.26,-21609.34,
2024,HR,1,32925.71,30364.35,30596.03,-2329.68,
2024,HR,2,75074.82,68249.88,68953.81,-6121.01,
2024,HR,3,42503.06,44444.3,42652.11,149.05,
2024,HR,4,31047.85,32495.4,33408.69,2360.84,
2024,IT,1,26040.63,24585.53,22752.02,-3288.61,
2024,IT,2,125902.24,121557.94,119490.08,-6412.16,
2024,IT,3,100055.73,92809.65,94502.07,-5553.66,
2024,IT,4,72786.96,70901.78,72262.04,-524.92,
2024,Sales,1,93664.65,99038.18,105900.34,12235.69,
2024,Sales,2,115140.75,115151.74,124609.39,9468.64,
2024,Sales,3,73898.42,73799.15,78992.61,5094.19,
2024,Sales,4,46637.67,49635.65,46802.25,164.58,
2024,Marketing,1,44332.15,41613.82,38572.49,-5759.66,
2024,Marketing,2,112743.3,119526.72,125960.5,13217.2,
2024,Marketing,3,141475.81,133345.42,140285.03,-1190.78,
2024,Marketing,4,102519.44,107453.3,115251.53,12732.09,
2024,Operations,1,100318.84,99411.77,102349.27,2030.43,
2024,Operations,2,51361.43,49600.67,50515.69,-845.74,
2024,Operations,3,29263.69,28094.51,28496.35,-767.34,
2024,Operations,4,146937.61,139057.76,147123.7,186.09,
2025,Finance,1,70700.52,71487.46,70006.17,-694.35,
2025,Finance,2,61495.92,56931.54,61359.25,-136.67,
2025,Finance,3,55254.78,57681.72,57575,2320.22,
2025,Finance,4,124523.7,112740.47,118711.72,-5811.98,
2025,HR,1,81015.75,81988.1,86451.22,5435.47,
2025,HR,2,55099.41,51780.92,56227.09,1127.68,
2025,HR,3,120462.05,127306.15,128022.17,7560.12,
2025,HR,4,90267.18,85027.32,88147.9,-2119.28,
2025,IT,1,116604.87,125973.73,128463.24,11858.37,
2025,IT,2,48595.51,43972.66,42981.29,-5614.22,
2025,IT,3,28599.2,28718.48,30923.94,2324.74,
2025,IT,4,42077.12,39403.9,39330.25,-2746.87,
2025,Sales,1,89482.9,97911.07,98559.24,9076.34,
2025,Sales,2,66730.62,63717.28,67871.69,1141.07,
2025,Sales,3,127969.04,117894.18,115938.14,-12030.9,
2025,Sales,4,98859.83,100730.21,97863.73,-996.1,
2025,Marketing,1,75571.7,80720.77,86587.65,11015.95,
2025,Marketing,2,130984.44,142175.37,145492.07,14507.63,
2025,Marketing,3,89085.04,89296.12,88359.56,-725.48,
2025,Marketing,4,116081.08,119772.47,112381.38,-3699.7,
2025,Operations,1,64640.45,70051.16,66350.81,1710.36,
2025,Operations,2,21211.21,22362.69,22368.41,1157.2,
2025,Operations,3,37532.77,38564.66,37139,-393.77,
2025,Operations,4,28580.31,29613.63,28551.84,-28.47,
